fids_to_protein_families	cs-fids-to-protein-families
genomes_to_genome_data	cs-genomes-to-genome-data
complexes_to_complex_data	cs-complexes-to-complex-data
fids_to_genomes	cs-fids-to-genomes
reaction_strings	cs-reaction-strings
roles_to_subsystems	cs-roles-to-subsystems
genomes_to_contigs	cs-genomes-to-contigs
fids_to_locations	cs-fids-to-locations
protein_families_to_fids	cs-protein-families-to-fids
roles_to_protein_families	cs-roles-to-protein-families
locations_to_dna_sequences	cs-locations-to-dna-sequences
subsystems_to_fids	cs-subsystems-to-fids
locations_to_fids	cs-locations-to-fids
fids_to_literature	cs-fids-to-literature
ous_with_trait	cs-ous-with-trait
fids_to_roles	cs-fids-to-roles
get_abundance_profile	cs-get-abundance-profile
proteins_to_sequences	cs-proteins-to-sequences
reactions_to_complexes	cs-reactions-to-complexes
region_to_alleles	cs-region-to-alleles
fids_to_feature_data	cs-fids-to-feature-data
fids_to_atomic_regulons	cs-fids-to-atomic-regulons
subsystems_to_roles	cs-subsystems-to-roles
fids_to_subsystem_data	cs-fids-to-subsystem-data
protein_families_to_proteins	cs-protein-families-to-proteins
co_occurrence_evidence	cs-co-occurrence-evidence
atomic_regulons_to_fids	cs-atomic-regulons-to-fids
genomes_to_taxonomies	cs-genomes-to-taxonomies
genomes_to_fids	cs-genomes-to-fids
alleles_to_traits	cs-alleles-to-traits
corresponds	cs-corresponds
text_search	cs-text-search
subsystems_to_genomes	cs-subsystems-to-genomes
genome_to_intergenic_regions	cs-genome-to-intergenic-regions
proteins_to_protein_families	cs-proteins-to-protein-families
roles_to_complexes	cs-roles-to-complexes
proteins_to_literature	cs-proteins-to-literature
region_to_fids	cs-region-to-fids
all_roles_used_in_models	cs-all-roles-used-in-models
close_genomes	cs-close-genomes
otu_members	cs-otu-members
fids_to_protein_sequences	cs-fids-to-protein-sequences
fids_to_annotations	cs-fids-to-annotations
fids_to_subsystems	cs-fids-to-subsystems
contigs_to_lengths	cs-contigs-to-lengths
alleles_to_bp_locs	cs-alleles-to-bp-locs
md5s_to_genomes	cs-md5s-to-genomes
get	cs-get
fids_to_dna_sequences	cs-fids-to-dna-sequences
representative	cs-representative
fids_to_proteins	cs-fids-to-proteins
roles_to_fids	cs-roles-to-fids
proteins_to_functions	cs-proteins-to-functions
proteins_to_roles	cs-proteins-to-roles
external_ids_to_fids	cs-external-ids-to-fids
subsystems_to_spreadsheets	cs-subsystems-to-spreadsheets
roles_to_proteins	cs-roles-to-proteins
otus_to_representatives	cs-otus-to-representatives
all_roles_used_in_models_and_subsystems	cs-all-roles-used-in-models-and-subsystems
fids_to_co_occurring_fids	cs-fids-to-co-occurring-fids
contigs_to_md5s	cs-contigs-to-md5s
contigs_to_sequences	cs-contigs-to-sequences
complexes_to_roles	cs-complexes-to-roles
representative_sequences	cs-representative-sequences
equiv_sequence_assertions	cs-equiv-sequence-assertions
genomes_to_md5s	cs-genomes-to-md5s
fids_to_regulon_data	cs-fids-to-regulon-data
protein_families_to_functions	cs-protein-families-to-functions
genomes_to_subsystems	cs-genomes-to-subsystems
fids_to_coexpressed_fids	cs-fids-to-coexpressed-fids
traits_to_alleles	cs-traits-to-alleles
regulons_to_fids	cs-regulons-to-fids
protein_families_to_co_occurring_families	cs-protein-families-to-co-occurring-families
fids_to_functions	cs-fids-to-functions
aliases_to_fids	cs-aliases-to-fids
proteins_to_fids	cs-proteins-to-fids
